PK_NOMBRE_ESCUELA;FK_COMUNA;
Estadio Municipal Rene Correa Hermosilla;Santa Barbara;
Complejo Deportivo Municipal de Los Vilos;Los Vilos;
Estadio Municipal de Coinco;Coinco;
Estadio Municipal de Empedrado;Empedrado;
Estadio Eladio Rojas;Valdivia;
Complejo Deportivo Santa Ines;La Serena ;
Estadio Atletico Bilbao;Santiago ;
Estadio Municipal Los Libertadores;Panquehue;
Estadio Municipal de Pedro Aguirre Cerda;Santiago ;
Estadio Atletico Quilamapu;Chillan;
Estadio Municipal de Victoria;Victoria;
Estadio Municipal de San Carlos;San Carlos;
Estadio Municipal de Curacautin;Curacautin;
Estadio Escuela Militar;Santiago ;
Complejo Deportivo Tadeo Haenke;Iquique;
Estadio Municipal de Rauco;Rauco;
Estadio Municipal de Lolol;Lolol;
Estadio Municipal Ewaldo Klein;Puerto Varas;
Estadio Tierra de Oro y Sol;Illapel ;
Estadio Municipal de Quilicura;Santiago ;
Canchas 2, 3 y 4 Estadio Regional Calvo y Bascunan;Antofagasta;
Cancha N°2 Estadio German Becker;Temuco;
Estadio Municipal de Canete;Canete;
Estadio Municipal de Hualqui;Hualqui;
Estadio Municipal de Nacimiento;Nacimiento;
Estadio Municipal de Hualpen;Concepcion ;
Cancha N°2 Estadio La Pampilla;Coquimbo;
Estadio Parque Urbano Tierras Blancas;Coquimbo ;
Estadio Escuela de Investigaciones Policiales;Santiago ;
Estadio Universidad de Concepcion;Concepcion;
Estadio Municipal de Monte Aguila;Cabrero ;
Estadio Municipal Alcalde Alejandro Floody;Carahue;
Estadio Atletico Provincial de Lebu;Lebu;
Estadio N° 1 Segundo Pichincho Ortiz;El Salvador;
Estadio Erwin Fischer Luft;Valparaiso;
Estadio Municipal de Puerto Octay;Puerto Octay;
Estadio Centro Recreativo Jorge Larrondo;Ovalle ;
Estadio Marista de Los Andes;Los Andes;
Complejo Deportivo Omar Dib Sanhueza;Traiguen;
Estadio Las Dunas;Caldera;
Estadio Cardenal Caro;Santiago ;
Estadio Municipal de Pelarco;Pelarco;
Estadio Municipal Eleodoro Pintor Salvadores;Lanco;
Cancha Las Vegas;Osorno ;
Estadio Municipal de Panguipulli;Panguipulli;
Estadio Municipal El Rungue;Nogales ;
Estadio Municipal de Huepil;Tucapel ;
Complejo Deportivo Escuela de Gendarmeria ;Santiago ;
Estadio La Anivana;Graneros ;
Estadio Pueblo Nuevo;La Calera;
Estadio Jorge Hidalgo;La Calera;
Estadio Municipal de San Clemente;San Clemente;
Estadio Municipal de Olivar Bajo;Olivar ;
Estadio Centenario de Los Andes;Los Andes;
Estadio Municipal Los Aromos;Mafil;
Estadio Chacabuco;Santiago ;
Estadio Municipal de San Ramon;Santiago ;
Estadio Atletico Ramon Tapia Chambilla;Copiapo;
Estadio Municipal Lo Blanco;Santiago ;
Estadio Municipal de San Pedro;San Pedro;
Estadio Municipal de Las Condes;Santiago ;
Estadio Municipal Jose Campos Orellana;Quillon;
Cancha N°2 Estadio Municipal de La Pintana;Santiago ;
Estadio Las Animas;Valdivia;
Estadio Municipal N°2 Del Nacional;Valdivia;
Estadio Municipal de Lampa;Lampa;
Estadio Gasco;Santiago ;
Estadio Municipal Edmundo Larre Bollmann;Rio Bueno;
Estadio Centenario de Purranque;Purranque;
Estadio Municipal de Monte Patria;Monte Patria;
Estadio Municipal de Renca;Santiago ;
Estadio Municipal de Lota;Lota;
Estadio Municipal de San Pedro de Atacama;San Pedro de Atacama;
Estadio Municipal Jonattan Munoz Allulef;Villarrica ;
Estadio Municipal de Huasco Bajo;Huasco ;
Estadio Municipal de Huasco;Huasco;
Estadio Escuela de Carabineros;Santiago ;
Estadio Militar de Santiago;Santiago ;
Estadio Municipal de Placilla de Penuelas;Valparaiso ;
Estadio Ramon Alarcon Alarcon;San Antonio;
Estadio Municipal de Olmue;Olmue;
Estadio Instituto Nacional;Santiago ;
Estadio Fiscal Ramon Canas;Punta Arenas;
Estadio 18 de Septiembre;Punta Arenas;
Estadio Municipal Santa Anita;Santiago ;
Estadio Malloco Atletico;Santiago (Malloco, Penaflor);
Complejo Deportivo Jaime Fernandez Garcia;Talca;
Complejo Deportivo Gilberto Tapia Novoa;Talca;
Estadio Estero Lobos;Puerto Montt;
Estadio El Roble;Chillan;
Complejo Deportivo Rio Viejo;Chillan;
Campo Deportivo Colegio Seminario Padre Alberto Hurtado;Chillan;
Estadio Municipal de Pinto;Pinto;
Estadio Municipal Jose Fuentes Espinoza;Florida;
Complejo Deportivo ANFA Chiguayante;Concepcion ;
Estadio Municipal de Carampangue;Arauco ;
Estadio Municipal Laureano Rosales;Futrono;
Estadio Municipal Roberto Echeverria Boutaud;Cunco;
Estadio Municipal de Melipeuco;Melipeuco;
Estadio Municipal de Alerce;Puerto Montt ;
Estadio Antonio Varas;Puerto Montt;
